protein,yearsCount
,3
ifn-gamma,3
cysteine-richpeptide,6
cp,9
furin,4
tfr2,10
serineprotease,4
bmp,7
acd,9
tlr4,4
smad4,5
hep,5
rbc,3
slc40a1,8
ebp,5
dmt,5
hif-1,3
morphogeneticprotein,6
lysozyme,4
hamp,10
transportproteins,5
th1,3
c-reactiveprotein,6
transferrin,11
bmp4,4
ifn,5
stat3,7
il-10,3
smad1,4
hjv,9
serumtransferrin,6
hepc,10
dmt1,9
upstreamstimulatoryfactor2,6
epo,6
irps,8
nf-kappab,3
bmp9,3
bmp-2,6
reversetranscriptase,3
gp130,4
transthyretin,3
tnfalpha,7
beta-2microglobulin,4
precerebellin,3
crp,4
hamp1,4
nramp1,3
adiponectin,3
thp,4
hp,5
hamp2,3
hepcidin-1,4
hepcidin,6
irp1,3
il-6,10
tmprss6,4
signalpeptide,3
hepc1,3
cysteine-rich,6
gfp,3
defensin,7
interferon,4
esa,3
orosomucoid,4
iron-regulatoryproteins,9
il-1beta,4
stat,5
jak2,4
peptidehormone,10
neogenin,5
bmp-6,3
tfrc,9
antibacterialpeptide,4
hfe,11
fattyacid-bindingprotein,3
fusionproteins,4
hepcidin-2,8
lipocalin2,3
leap,5
ferritin,11
saa,3
divalentmetaltransporter-1,10
hephaestin,6
tumornecrosisfactor-alpha,4
gdf-15,4
ireg1,3
erythropoietin,8
hemoglobin,8
tlrs,3
interleukin-1beta,3
growthfactor,4
leptin,3
